Symbol,group
Smn,EuRBP
CG9705,EuRBP
CG7728,EuRBP
beg,EuRBP
CG14057,EuRBP
UQCR-Q,EuRBP
U4-U6-60K,EuRBP
CG7564,EuRBP
Edc3,EuRBP
CG5589,EuRBP
TrpRS-m,EuRBP
mRpS26,EuRBP
RpIIIC53,EuRBP
CG18233,EuRBP
Nufip,EuRBP
RpL26,EuRBP
arx,EuRBP
CG6841,EuRBP
CG6839,EuRBP
CG3819,EuRBP
CG3808,EuRBP
CNPYb,EuRBP
Gem2,EuRBP
mRpL21,EuRBP
CG9666,EuRBP
CG9300,EuRBP
CG9330,EuRBP
CG14100,EuRBP
Lon,EuRBP
Prp3,EuRBP
Mtr3,EuRBP
Pfdn6,EuRBP
Gabat,EuRBP
FRG1,EuRBP
eRF1,EuRBP
mRpL15,EuRBP
mTerf3,EuRBP
tzn,EuRBP
CG12975,EuRBP
Tsr1,EuRBP
barc,EuRBP
CG11247,EuRBP
Rpb8,EuRBP
CG7414,EuRBP
Nopp140,EuRBP
P5CDh1,EuRBP
CG11109,EuRBP
CG14641,EuRBP
Suv3,EuRBP
srl,EuRBP
eIF3a,EuRBP
CG1074,EuRBP
Fip1,EuRBP
CG14655,EuRBP
Mms19,EuRBP
RpL35A,EuRBP
mRpL44,EuRBP
CG2931,EuRBP
RpL13A,EuRBP
Rab23,EuRBP
CG1239,EuRBP
CG2100,EuRBP
Sym,EuRBP
CG2091,EuRBP
CG1218,EuRBP
CG10979,EuRBP
Hpr1,EuRBP
CG2017,EuRBP
CG18048,EuRBP
CG1943,EuRBP
Tailor,EuRBP
CG10055,EuRBP
CG1234,EuRBP
CG10053,EuRBP
CG1142,EuRBP
ArgRS-m,EuRBP
mRpS9,EuRBP
CG7878,EuRBP
CG9667,EuRBP
Arl8,EuRBP
CG9630,EuRBP
mRpL1,EuRBP
tex,EuRBP
CG7483,EuRBP
CG9684,EuRBP
SLIRP2,EuRBP
CG8036,EuRBP
mRpL19,EuRBP
ouib,EuRBP
CG8159,EuRBP
CG8223,EuRBP
CCT7,EuRBP
ScsbetaA,EuRBP
RagA-B,EuRBP
CG11980,EuRBP
RpL34b,EuRBP
CG8149,EuRBP
RnpS1,EuRBP
CG9386,EuRBP
CG16790,EuRBP
Son,EuRBP
CG8319,EuRBP
SpdS,EuRBP
trbd,EuRBP
Art4,EuRBP
mtTFB2,EuRBP
CG6254,EuRBP
Rrp46,EuRBP
Art1,EuRBP
Tengl4,EuRBP
mAcon2,EuRBP
CG6689,EuRBP
CG6693,EuRBP
CG5214,EuRBP
mRpL40,EuRBP
Ranbp9,EuRBP
RpL24-like,EuRBP
Exd2,EuRBP
sea,EuRBP
CG14711,EuRBP
CG6813,EuRBP
CG14718,EuRBP
eIF3d2,EuRBP
CG10038,EuRBP
MBD-R2,EuRBP
FBgn0038035,EuRBP
CG5641,EuRBP
CG12267,EuRBP
Gnmt,EuRBP
CG10909,EuRBP
Paip2,EuRBP
CG7488,EuRBP
